Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Middle East and North Africa,Azerbaijan,Snacks,Online,C,10/08/2014,535113847,10/23/2014,934,152.58,97.44,142509.72,91008.96,51500.76
Central America and the Caribbean,Panama,Cosmetics,Offline,L,2/22/2015,874708545,2/27/2015,4551,437.2,263.33,1989697.2,1198414.83,791282.37
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Offline,M,12/09/2015,854349935,1/18/2016,9986,9.33,6.92,93169.38,69103.12,24066.26
Sub-Saharan Africa,Sao Tome and Principe,Personal Care,Online,M,9/17/2014,892836844,10/12/2014,9118,81.73,56.67,745214.14,516717.06,228497.08
Central America and the Caribbean,Belize,Household,Offline,H,02/04/2010,129280602,03/05/2010,5858,668.27,502.54,3914725.66,2943879.32,970846.34
Europe,Denmark,Clothes,Online,C,2/20/2013,473105037,2/28/2013,1149,109.28,35.84,125562.72,41180.16,84382.56
Europe,Germany,Cosmetics,Offline,M,3/31/2013,754046475,05/03/2013,7964,437.2,263.33,3481860.8,2097160.12,1384700.68
Middle East and North Africa,Turkey,Fruits,Online,C,3/26/2012,772153747,04/07/2012,6307,9.33,6.92,58844.31,43644.44,15199.87
Europe,United Kingdom,Snacks,Online,H,12/29/2012,847788178,1/15/2013,8217,152.58,97.44,1253749.86,800664.48,453085.38
Asia,Kazakhstan,Cosmetics,Online,H,09/11/2015,471623599,9/18/2015,2758,437.2,263.33,1205797.6,726264.14,479533.46
Central America and the Caribbean,Haiti,Cosmetics,Online,C,12/27/2013,554646337,01/01/2014,1031,437.2,263.33,450753.2,271493.23,179259.97
Europe,Italy,Clothes,Online,M,12/17/2013,278155219,01/10/2014,1165,109.28,35.84,127311.2,41753.6,85557.6
Europe,Malta,Household,Offline,L,03/10/2015,243761575,4/17/2015,3322,668.27,502.54,2219992.94,1669437.88,550555.06
Middle East and North Africa,Jordan,Household,Offline,L,07/09/2014,223389232,7/18/2014,4693,668.27,502.54,3136191.11,2358420.22,777770.89
Asia,Cambodia,Vegetables,Offline,H,6/14/2017,509274518,6/29/2017,4502,154.06,90.93,693578.12,409366.86,284211.26
Central America and the Caribbean,Saint Kitts and Nevis ,Office Supplies,Online,H,08/10/2011,563966262,8/29/2011,9004,651.21,524.96,5863494.84,4726739.84,1136755
Sub-Saharan Africa,Cameroon,Fruits,Online,H,12/18/2015,370325791,02/06/2016,6486,9.33,6.92,60514.38,44883.12,15631.26
Middle East and North Africa,Bahrain,Vegetables,Offline,L,6/26/2016,881526935,7/19/2016,2264,154.06,90.93,348791.84,205865.52,142926.32
